,data
10,If you are an affiliate of the Rutgers Biomedical and Health Sciences department your default email account will be Connect (Office 365). This is because those with an active RBHS role are typically flagged in our systems as having access to Protected Health Information (PHI). Connect is not open to third-party applications and is designed by Rutgers to keep protected health information secure. RBHS affiliates can obtain a ScarletMail but are only allowed to set a delivery address that is an RBHS email account (Connect). They are only allowed to use their alias or RBHS email account as an official Rutgers email address and are not permitted to forward their RBHS email to another account (such as ScarletMail). Both your Connect and ScarletMail can be setup during your NetID activation process or through Service Activation.
11,"Reminder: This service uses your ScarletApps Mobile/POP/IMAP Password. If you do not know or remember this password, review the instructions on how to create or change your ScarletApps password. If you are a student under 18 years old, you will be unable to use third party apps or setup ScarletMail on any mail client. You will need to use the web browser to access your account. Once you turn 18, full functionality will automatically be granted to your account.  View the instructions below on how to setup your desktop client for ScarletMail:Outlook on Mac, Outlook on Windows. Mac. Windows, Thunderbird, iOS, Android, For more information on how to configure your client/device and troubleshooting steps visit Google support page for: IMAP, POP"
12,"You can send up to 25 MB in attachments. If you have more than one attachment, they cannot add up to more than 25 MB. If your file is greater than 25 MB, Gmail automatically adds a Google Drive link in the email instead of including it as an attachment. For more detailed instructions, visit the Google Help article on how to send attachments with your Gmail message. When you attach a Google Drive file to a message, Gmail checks to see if your recipients have access to the file. If they don't, you'll be prompted to change the sharing settings of the file before you send your message. For more detailed instructions, please refer to the Google Help article on sharing settings for Google Drive files. "
13,"You may only change the “From:” address of your email to send from your official Rutgers email address. For instructions, visit the article on setting up ScarletMail to use your official Rutgers email address."
14,"Yes, multiple sign-ins with the same browser needs to be enabled though. This can be done using the multiple sign-in settings page."
15,"Only Alumni, Retirees and Professor Emeritus are eligible to keep their ScarletMail/ScarletApps account after leaving the University. People who leave Rutgers without formally graduating, even if only for one semester, are subject to losing their account. These accounts are subject to regular audits to check if it is still actively being used. If you are in one of these groups and your account is deemed inactive, you will be contacted to confirm that you are still using the account. It will remain active so long as you respond to these inquiries in a timely fashion. If there is no response, the account will be closed and all data will be permanently deleted. Alumni who no longer want their ScarletMail accounts should write to help@oit.rutgers.edu from their ScarletMail account, as proof they are the account owner, to request its closure. Closing a ScarletMail account will also remove access to other ScarletApps services. There is no way to remove a single ScarletApps service. More information on who is eligible can be found on the ScarletMail account audit article."
16,"You can change your display name (your First and Last Name) that appears when you send from your ScarletMail. When it is first activated, ScarletMail will pull your First and Last name from what Rutgers has on file. However it will not update your display name on ScarletMail if your name at Rutgers changes for any reason. You may also wish to add a distinguishing title such as Dr. to your name, change your First name to a nickname, or your Last name if you are married. If you use Gmail's web interface you may update your name by following the instructions below. If you use a different application or interface to send from your ScarletMail, you will have to review the documentation provided by that application's vendor. Go to Gmail and enter your ScarletMail Email Address: netid@scarletmail.rutgers.edu. Click Next. Enter your Rutgers NetID and password. Click Login. In the top right, click the Gear Icon to get to Settings, and then See all settings. Click the Accounts and Import or Accounts tab. Under Send mail as, click edit info. Under Name, enter the name you want to show when you send messages. At the bottom, click Save Changes."
17,"While you are registered as a Student, you cannot request that your ScarletMail account be deleted. You must have a ScarletMail account as one account where official email is guaranteed to be received. If you are an Alumni, you may request your account be deleted by emailing help@oit.rutgers.edu from your ScarletMail account."
18,"To ensure your security, the Rutgers University network utilizes a secure authentication mechanism known as WPA2-Enterprise and 802.1X. This security mechanism protects your username and password. In a wireless environment, it also protects your data with network encryption. To utilize this secure network, your network connection requires specific settings. Go to wifi.rutgers.edu to automatically configure your device for RUWireless Secure. After you are configured for RUWireless Secure any time you are in range of a RUWireless access point you will automatically connect to RUWireless Secure."
19,"RUWireless Secure is broadcast on all of the RUWireless access points on all three Rutgers campuses. RUWireless Secure is available in all student centers and dining halls, most libraries, dorms, and many academic and administrative buildings across the University."
20,"Reason to use RUWireless Secure: RUWireless Secure utilizes a secure authentication mechanism known as WPA2-Enterprise and 802.1X which keeps your username and password safe when logging in. RUWireless Secure protects your data that is sent over the wireless network. Even when using non SSL or https connections. The RUWireless Secure supplicant stores your username and password so any time you are within range of a RUWireless access point you will automatically connect to RUWireless Secure bypassing the login page.*"
21,"How to configure for RUWireless Secure: Associate to the wireless network named: RUWireless After you have associated to RUWireless, a web browser will open. If a web browser did not open, open one and go to wifi.rutgers.edu. On the RUWireless login page, click I have a NetID and password. Follow the on-screen instructions. Enjoy using RUWireless Secure knowing the data you transfer over the wireless network is now safe and secure."
22,"Printing is not enabled on the RUWireless network. You are required to be on RUWireless Secure in order to print. Guests are not permitted to print from RUWireless Secure.  To connect to RUWireless Secure, follow the instructions on the How Do I Connect To RUWireless Secure article. Once connected, follow instructions on how to install Mobility Print and print using personal devices. You will need to have the physical copy of you RUID card in order to release the prints even if it was printed from the Mobility Print app. Print release stations can be located at specific sites in Rutgers–New Brunswick, Rutgers–Newark, and Rutgers–Camden. Departmental labs that are not operated by Rutgers OIT are not a supported locations for printouts via the Mobility App. For more information about printing on campus and cost, please refer to Rutgers printing overview"
23,"Rutgers provides free access to various Microsoft Office products for all current faculty, staff, and students. Faculty, staff, and students can install Microsoft Word, Excel, PowerPoint, OneNote, Publisher (PC only), and Access (PC only) on up to five computers, five tablets, and five phones, including personal equipment. Please note Microsoft OneDrive and Skype are only available for faculty and staff. Students are encouraged to use the storage component of their ScarletMail accounts, Google Drive, for storage space. Faculty, staff, and students will have an active license to use Microsoft Office products while they are enrolled in or employed at Rutgers. Once they depart the University, the license will expire and they will have 30 days before the Office applications go into a read-only mode with limited functionality."
